Country,Region,City,Store ID,Store Name,Sales Order Number,Sales Order Date,Product Name,Quantity,Unit Price,Total Product Cost,Material Cost,Shipping Cost,Total Cost,Sales Type,Delivery Fee,Delivery Duration (mins),Discount Code,Discount %,Delivery vehicle plate
Australia,Western Australia,Busselton,4505,Busselton Store,SO_643709,2025-04-29,Product_38,3,75.34,226.02,7.42,0.4,46.54,delivery,1.9,14.0,,15,WEBU_2
Australia,Western Australia,Busselton,4505,Busselton Store,SO_626537,2025-04-29,Product_2,2,33.37,66.74,3.53,0.19,25.740000000000002,instore,0.0,,DISCOUNT10,0,
Australia,Western Australia,Busselton,4505,Busselton Store,SO_626537,2025-04-29,Product_31,4,97.75,391.0,11.0,0.67,83.57,instore,0.0,,,10,
Australia,Western Australia,Busselton,4505,Busselton Store,SO_626537,2025-04-29,Product_46,10,47.96,479.6,5.21,0.35,44.76,instore,0.0,,DISCOUNT15,0,
Australia,Western Australia,Busselton,4505,Busselton Store,SO_626537,2025-04-29,Product_12,5,50.03,250.15,6.65,0.65,44.62,instore,0.0,,DISCOUNT20,20,
Australia,Northern Territory,Fannie Bay,5216,Fannie Bay Store,SO_565439,2025-04-29,Product_23,3,78.03,234.09,6.83,0.5,52.92,delivery,4.84,15.0,,10,NOFA_2
Australia,Northern Territory,Fannie Bay,5216,Fannie Bay Store,SO_565439,2025-04-29,Product_31,2,59.24,118.48,3.75,0.26,32.46,delivery,4.84,15.0,,10,NOFA_2
Australia,Northern Territory,Fannie Bay,5216,Fannie Bay Store,SO_565439,2025-04-29,Product_17,8,52.95,423.6,6.24,0.39,47.25,delivery,4.84,15.0,,0,NOFA_2
Australia,Northern Territory,Alawa,3928,Alawa Store,SO_715662,2025-04-29,Product_42,4,63.66,254.64,5.89,0.45,51.39,instore,0.0,,,15,
Australia,Northern Territory,Alawa,3928,Alawa Store,SO_715662,2025-04-29,Product_12,10,43.71,437.1,3.85,0.35,29.14,instore,0.0,,,0,
